,iteration,message,category,filename,lineno
75,75,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
76,76,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
77,77,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
78,78,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
79,79,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
80,80,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
81,81,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
82,82,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
83,83,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
84,84,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
85,85,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
86,86,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
87,87,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
